File_name,Individual,Which_ear,Objective,Temperature,HatchingState,AgeGroup,Clutch,Age_days,Age_hours,Age_mins,Age_secs,Age,Img,RampDiff,R-R2,LampDiff,L-R2,AverageAmp,AverageR2,Stage,Hair_width,Sypse_width,Scan_date ,Slice_size ,Z_first,Z_last,Surface_type,N_images_in_sequence,Kaylee_Image_number_HC,Kaylee_N_hair_cells,Kaylee_Total_N_of_hair_cells,Kaylee_HC_to_HC_length_um,Kaylee_HC_to_HC_surface_area,Kaylee_HC_to_HC_surface_area_SubsDiffs,Kaylee_HC_surface_length_um,Kaylee_HC_surface_area,Kaylee_HC_notes,Avital_Image_number_HC,Avital_N_hair_cells,Avital_Total_N_of_hair_cells,Avital_HC_to_HC_length_um,Avital_HC_to_HC_surface_area,Avital_HC_to_HC_surface_area_SubsDiffs,HumanError,Avital_HC_surface_length_um,Avital_HC_surface_area,Avital_HC_notes,Kaylee_Image_number_SYN,Kaylee_N_synapses,Kaylee_Total_N_synapses,Kaylee_SYN_notes,Avital_Image_number_SYN,Avital_N_synapses,Avital_Total_N_synapses,Avital_SYN_notes,Julie_Image_number_SYN,Julie_N_synapses,Julie_Total_N_synapses,Julie_SYN_notes,Kaylee_Image_number_SICE,Kaylee_SiCE_N_synapses,Trial_2,Notes
Indiv4L_c262_60x(typo-c292),4,left,60,Hot,0,Younger,292,3,4,15,0,3.177083333,6316-6346,NA,NA,NA,NA,NA,NA,27,7.102327532,4.409062329,20170727,2,4,22,NA,39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,#VALUE!,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,0,NA,NA
Indiv4L_c262_60x(typo-c292),4,left,60,Hot,0,Younger,292,3,4,15,0,3.177083333,6316-6346,NA,NA,NA,NA,NA,NA,27,7.102327532,4.409062329,20170727,2,4,22,NA,39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,#VALUE!,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27,5,NA,NA
Indiv4L_c262_60x(typo-c292),4,left,60,Hot,0,Younger,292,3,4,15,0,3.177083333,6316-6346,NA,NA,NA,NA,NA,NA,27,7.102327532,4.409062329,20170727,2,4,22,NA,39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,#VALUE!,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29,6,NA,NA
Indiv4L_c262_60x(typo-c292),4,left,60,Hot,0,Younger,292,3,4,15,0,3.177083333,6316-6346,NA,NA,NA,NA,NA,NA,27,7.102327532,4.409062329,20170727,2,4,22,NA,39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,#VALUE!,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31,7,NA,NA
Indiv4L_c262_60x(typo-c292),4,left,60,Hot,0,Younger,292,3,4,15,0,3.177083333,6316-6346,NA,NA,NA,NA,NA,NA,27,7.102327532,4.409062329,20170727,2,4,22,NA,39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,#VALUE!,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33,29,NA,NA
Indiv4L_c262_60x(typo-c292),4,left,60,Hot,0,Younger,292,3,4,15,0,3.177083333,6316-6346,NA,NA,NA,NA,NA,NA,27,7.102327532,4.409062329,20170727,2,4,22,NA,39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,#VALUE!,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35,29,NA,NA
Indiv4L_c262_60x(typo-c292),4,left,60,Hot,0,Younger,292,3,4,15,0,3.177083333,6316-6346,NA,NA,NA,NA,NA,NA,27,7.102327532,4.409062329,20170727,2,4,22,NA,39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,#VALUE!,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37,16,NA,NA
Indiv4L_c262_60x(typo-c292),4,left,60,Hot,0,Younger,292,3,4,15,0,3.177083333,6316-6346,NA,NA,NA,NA,NA,NA,27,7.102327532,4.409062329,20170727,2,4,22,NA,39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,#VALUE!,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39,17,NA,NA
Indiv4R_c292_60x(typo-c292),4,right,60,Hot,0,Younger,292,3,4,15,0,3.177083333,6316-6346,NA,NA,NA,NA,NA,NA,27,7.102327532,4.409062329,20170727,2,10,36,NA,40,10,3,37,47.503,4871.404571,4871.404571,109.871,7070.930286,None,10,1,25,3.934,2400.594857,2400.594857,2470.809714,57.535,5224.982286,NA,28,2,6,NA,18,1,6,NA,18,1,9,NA,1,0,NA,NA
Indiv4R_c292_60x(typo-c292),4,right,60,Hot,0,Younger,292,3,4,15,0,3.177083333,6316-6346,NA,NA,NA,NA,NA,NA,27,7.102327532,4.409062329,20170727,2,10,36,NA,40,14,7,NA,102.549,NA,NA,128.412,NA,NA,14,6,NA,55.656,NA,NA,#VALUE!,105.966,NA,NA,30,0,NA,NA,20,1,NA,NA,20,1,NA,NA,3,0,NA,NA
